Comment,Sentiment
২০২৪কে কে শুনেছেন লাইক করবেন,Positive
২০১৮ সালে এই গানটি শুনি আজকে আবার শুনলাম,Positive
আমি এ গানে নাচ করছি,Positive
অনেক দিন পর গান টার কথা মনে পরলো সুনতে আইলাম যদি কেউ কমেন্ট করে তবে আবার আসবো,Positive
আজকে সৃতি রেখে গেলাম কমেন্ট করে,Positive
২০১৯ সালে গানটা রিলিজ হওয়ার পর থেকে কত বার দেখছি হিসেব নেই,Positive
এই গান টা খুব ভালো লাগে তাই,Positive
গানটা ভালো লাগে কেনো জানি,Positive
ইন্টারনেট আসার পর এই গানটা শুনতে এলাম,Positive
মায়া লাগিয়ে ছেড়ে চলে গেছে,Positive
গানটা আমার কাসে ভালো লাগে,Positive
ঘরের লোক কয় মজা নিম,Neutral
কে কে জয়পুরহাট থেকে দেখছেন,Positive
এই ভিডিও দেখে যত মানুষ সুন্দর হওয়াও দেবে সব গুনাহ পরিমনের গুনাহ জারিয়া হিসেবে সামিল হবে,Negative
তোরে সামনে দেখলে আমার ঘুম আসে না,Positive
পরীমনির থেকে বিদেশি গুলো বেশি সুন্দর,Negative
করিনা কাপুরের গলায় পরিমনির পাঠ করা ডানা কাটা পরি সং সত্যিই দারুন,Positive
দুষ্ট কুকিলের থেকে বেশি হিট ডানা কাটা পরি,Negative
পরির মাহির মতো আইটেম গানে আর কাওরে মানায় না,Negative
বাংলাদেশের সর্বকালের সর্বশ্রেষ্ঠ আইটেম গান,Positive
কি বলেন আপনারা কেমন লেগেছে,Positive
ঈদের ৭ দিন আগে কে কে দেখতে আসছো,Negative
পাগল টানা না কাটা কাটার নাচতে পারে না,Negative
তোদের জদি লজ্জা শরম থাকতো উলঙ্গ হয়ে বেহায়ার মতো করে মানুষ কে দেখাতিস না,Positive
পরিমনি আসলে ডানা কাটা পরি,Neutral
এই গানের মুভির নাম কি,Positive
এই গান আমি একটানা ২২ সুনছি তাউ কেমন জানি মনো মন ভরে নাই,Positive
আগামী তে আরো এরকম গান দেখতে পারব আশা করি,Positive
এই গানের ছবির নাম কি কেউ জানলে বলবেন প্লিজ,Positive
আমার কাছে ওরে প্রতিবন্ধি পরি মনে হয়,Negative
গানটা অসাধারণ নায়িকাও দারুণ শুধু অতিরিক্ত লাইটিং না দেখায় নায়িকারে আরেকটু দেখাইলেই আরো কিছু ভিউস বাড়তো,Negative
আসিস কি চুটা পেট বেরে করে নাচে,Negative
পরিমনী বিশ্বজগত জননী কারণ তার মন পবিত্র,Positive
আমি নস্ট হয়ে শুনতে এসেছি,Negative
এই গানের ছবিটা নাম কী,Positive
বর্তমান প্রেক্ষাপটে দেশের সবচেয়ে সেক্সি ও সুন্দর নায়িকা পরিমনি,Positive
আমি গানটা ২০২৩ সালে শুনেছি,Positive
রক্ত ছবিতে জাস্ট রোশান কে খুব ভালো মানিয়েছে আর বিশ্ব সুন্দরীর পরি মনি এবং মানবাণী ভালো মানিয়েছে ছবিটা খুব মাল্টিমিডিয়া জাস্ট হিট,Positive
ডানা কাটা পরি গানটা খুব আইটেম,Positive
মনিরের একটা আইটেম সুন্দর একটা গান,Positive
হুম সেটা আপনি ঠিক বলেছেন কিন্তু বাকি দিক গুলো ও দেখতে হবে শুধু সৌন্দর্য দেখলে হবে না,Positive
গানটা খোব মনেপড়ছিল তাই শুনতে এলাম ২০২৩ এশে শুনলাম,Positive
তালাক নামা পাঠানোর কথা শুনেই গানটা শুনতে আসলাম,Positive
স্মৃতি রেখে গেলাম যখন মানুষ এই টা শুনতে আসবে তখন লাইক দিলে আমার এখানে নোটিফিকেশন আসলে আবার শুনতে আসব,Positive
কে কে ২০২৩ এসে গানটা শুনলেন,Positive
২০২৩ সালে আমার মতো এই গান টা কে কে দেখছো,Negative
পোসাক গুলো আর একটু ছোট হলে আরও ভালো মারকেট পেতো,Positive
পরিমনি বাংলাদেশের সবচেয়ে সুন্দরী নায়িকা এই গানটা খুবই প্রিয় মন ভরে যায়,Positive
পরিমনি ধষিত হওয়ার পর গানটা দেখতে এসেছেন কে কে,Negative
পরিমনি এক নম্বার নস্টা মেয়ে,Negative
নেংটা হয়ে গেলো কইটা টাকার লোভে জাংগিয়া পড়ে নাচলো,Negative
এতোদিন ধরে গান টা শুনি অথচ খেয়ালই করা হয় নি যে গানটি কনিকা কাপুর গেয়েছেন,Positive
স্মৃতির পথে পাঁ বাড়িয়ে ২০২৩ সালে ও এসে কে কে শুনছেন লাইক দিয়ে যান,Positive
নিজেকে সুন্দরী মনে করে আসলে কুকুরের গু এগুলো কি জামা কাপড় পরছে ভূতের মতন লাগে কাট্টুস তুই ডানা কাটা পরি আমি কি করব তুই না পরী তাহলে জাদু করে দেখা জাদুতে পারবি না,Negative
এই তুমি কি আমার বাচ্চার আম্মু হবা,Negative
ইডেট করা একটা পিক আছে দেখো,Neutral
২০২৩ এ কারা কারা দেখছেন,Positive
হ্যাঁ তুমি মারজুক রাসেল পরী,Negative
আমি এই গানের নৃত্য দিয়েছি,Negative
বাংলাদেশের সবচেয়ে নিকৃষ্ট নায়িকা পরী মাগী,Negative
আমি বাড়ো বাতারী আমি বাড়ো বাতারী,Positive
পরীমনি আসলেই ডানা কাটা পরী,Negative
ছরথথঢথররজরদরছরছরছঢঠবচরঝম এই উঃ এই উঃ উঃ উঃ উঃ উঃ ঊঊঊঊঊঊঊঊঊ,Positive
অনেক জন সুনেছে আমি সুনেছি,Positive
আমি তো শুনতে শুনতে পাগল,Positive
আমি ২৩ সালের শেষে এসে শোনতেসি,Positive
২০২৪ সালে তো শুনলাম ২০৫০ সালেও শুনবো,Positive
পরিমনির এই একটাই গান পুরো বিনোদন জগতে রেকর্ড করছে,Positive
বাংলাদেশ ও ফাটিয়ে দিল কনিকা কাপুর,Positive
জেলার ভাত খেলে লজ্জা করে না,Negative
